full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,134998,134998,21787,34,34,1,https://github.com/anthropics/claude-code
claude-code-best/claude-code,20551,20551,16298,2,2,3,https://github.com/claude-code-best/claude-code
jarmuine/claude-code,2228,2228,5930,0,0,0,https://github.com/jarmuine/claude-code
yasasbanukaofficial/claude-code,3612,3612,4753,1,1,0,https://github.com/yasasbanukaofficial/claude-code
shareAI-lab/learn-claude-code,69012,69012,11250,18,18,6,https://github.com/shareAI-lab/learn-claude-code
codeaashu/claude-code,3032,3032,3550,1,1,1,https://github.com/codeaashu/claude-code
ChinaSiro/claude-code-sourcemap,9484,9484,14692,1,1,0,https://github.com/ChinaSiro/claude-code-sourcemap
tanbiralam/claude-code,1964,1964,2662,1,1,0,https://github.com/tanbiralam/claude-code
pengchengneo/Claude-Code,1580,1580,2500,2,2,2,https://github.com/pengchengneo/Claude-Code
Alishahryar1/free-claude-code,37699,37699,5923,38,38,6,https://github.com/Alishahryar1/free-claude-code
RishabhK103/claude-code,99,99,7236,0,0,0,https://github.com/RishabhK103/claude-code
shanraisshan/claude-code-best-practice,61573,61573,6159,14,14,1,https://github.com/shanraisshan/claude-code-best-practice
hesreallyhim/awesome-claude-code,47605,47605,4158,15,15,-1,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,35440,35440,2919,2,2,-2,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,28360,28360,2961,1,1,2,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,902,902,1213,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,182,182,2251,0,0,0,https://github.com/Onewon/claude-code
Donchitos/Claude-Code-Game-Studios,22455,22455,3243,10,10,0,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,22576,22576,2628,8,8,1,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3235,3235,3830,0,0,0,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2307,2307,3530,0,0,0,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,8177,8177,1937,4,4,1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,11477,11477,1973,5,5,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3357,3357,1896,2,2,1,https://github.com/liuup/claude-code-analysis
T-Lab-CUHKSZ/claude-code,321,321,612,0,0,0,https://github.com/T-Lab-CUHKSZ/claude-code
diet103/claude-code-infrastructure-showcase,9727,9727,1216,4,4,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9489,9489,724,2,2,0,https://github.com/frankbria/ralph-claude-code
pedrohcgs/claude-code-my-workflow,1326,1326,2659,1,1,2,https://github.com/pedrohcgs/claude-code-my-workflow
ykdojo/claude-code-tips,8968,8968,687,5,5,0,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,2697,2697,2410,1,1,0,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,787,787,1759,0,0,0,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,3809,3809,787,3,3,0,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5981,5981,563,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
huangserva/claude-code-cli,612,612,1306,-2,-2,0,https://github.com/huangserva/claude-code-cli
wanshuiyin/Auto-claude-code-research-in-sleep,12792,12792,1167,4,4,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
OneRedOak/claude-code-workflows,3846,3846,566,2,2,0,https://github.com/OneRedOak/claude-code-workflows
alex000kim/claude-code,229,229,333,0,0,0,https://github.com/alex000kim/claude-code
FlorianBruniaux/claude-code-ultimate-guide,5252,5252,692,3,3,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
nicedreamzapp/claude-code-local,2883,2883,555,1,1,0,https://github.com/nicedreamzapp/claude-code-local
xorespesp/claude-code,228,228,316,0,0,0,https://github.com/xorespesp/claude-code
1rgs/claude-code-proxy,3664,3664,476,2,2,0,https://github.com/1rgs/claude-code-proxy
zebbern/claude-code-guide,4348,4348,441,0,0,0,https://github.com/zebbern/claude-code-guide
VineeTagarwaL-code/claude-code,276,276,270,0,0,0,https://github.com/VineeTagarwaL-code/claude-code
anthropics/claude-code-security-review,5415,5415,570,2,2,0,https://github.com/anthropics/claude-code-security-review
lorryjovens-hub/claude-code-rust,1652,1652,639,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
disler/claude-code-hooks-mastery,3801,3801,623,5,5,0,https://github.com/disler/claude-code-hooks-mastery
affaan-m/ECC,223518,223518,34219,103,103,20,https://github.com/affaan-m/ECC
zstmfhy/Claude-code,190,190,286,0,0,0,https://github.com/zstmfhy/Claude-code
777genius/claude-code-source-code,916,916,1100,0,0,0,https://github.com/777genius/claude-code-source-code
Maciek-roboblog/Claude-Code-Usage-Monitor,8301,8301,429,2,2,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
rohitg00/awesome-claude-code-toolkit,2211,2211,742,2,2,0,https://github.com/rohitg00/awesome-claude-code-toolkit
freestylefly/claude-code,127,127,307,0,0,0,https://github.com/freestylefly/claude-code
Windy3f3f3f3f/how-claude-code-works,2753,2753,623,1,1,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
alejandrobalderas/claude-code-from-source,2357,2357,672,6,6,0,https://github.com/alejandrobalderas/claude-code-from-source
Tinkeringg-Lab/claude-code,209,209,240,0,0,0,https://github.com/Tinkeringg-Lab/claude-code
fuergaosi233/claude-code-proxy,2703,2703,401,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2719,2719,404,1,1,0,https://github.com/RichardAtCT/claude-code-telegram
