full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,62302,62302,4660,97,97,1,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,34840,34840,4258,245,245,26,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,15836,15836,3483,35,35,1,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,26898,26898,2095,21,21,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,18907,18907,1739,19,19,1,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,22319,22319,1268,22,22,2,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5397,5397,1407,1,1,1,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,8689,8689,1126,3,3,0,https://github.com/diet103/claude-code-infrastructure-showcase
VoltAgent/awesome-claude-code-subagents,9105,9105,989,20,20,4,https://github.com/VoltAgent/awesome-claude-code-subagents
ChrisWiles/claude-code-showcase,5148,5148,439,3,3,0,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3551,3551,524,2,2,0,https://github.com/OneRedOak/claude-code-workflows
frankbria/ralph-claude-code,5962,5962,412,17,17,1,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,3808,3808,564,9,9,2,https://github.com/Piebald-AI/claude-code-system-prompts
1rgs/claude-code-proxy,2952,2952,394,3,3,0,https://github.com/1rgs/claude-code-proxy
kodu-ai/claude-coder,5287,5287,200,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2033,2033,351,2,2,0,https://github.com/Yuyz0112/claude-code-reverse
zebbern/claude-code-guide,3244,3244,291,2,2,0,https://github.com/zebbern/claude-code-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,6356,6356,308,5,5,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
disler/claude-code-hooks-mastery,2132,2132,450,0,0,0,https://github.com/disler/claude-code-hooks-mastery
fuergaosi233/claude-code-proxy,1970,1970,273,2,2,0,https://github.com/fuergaosi233/claude-code-proxy
Cranot/claude-code-guide,2301,2301,253,0,0,0,https://github.com/Cranot/claude-code-guide
anthropics/skills,58372,58372,5714,316,316,31,https://github.com/anthropics/skills
anthropics/claude-code-base-action,563,563,598,0,0,0,https://github.com/anthropics/claude-code-base-action
Pimzino/claude-code-spec-workflow,3381,3381,242,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
eyaltoledano/claude-task-master,25151,25151,2408,2,2,1,https://github.com/eyaltoledano/claude-task-master
wshobson/agents,27280,27280,2996,19,19,-1,https://github.com/wshobson/agents
https-deeplearning-ai/sc-claude-code-files,384,384,519,1,1,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
